engagement_id,restaurant_id,user_id,engagement_type,stars,engagement_date
835dc000-0a43-4309-b7b7-e36a5ec73cc5,f1ba4601-d1f5-434b-be9c-e9bed3d34d08,8e06aa36-1289-4c1e-a169-c4ca4db8e2f5,review,3.0,2022-05-31
88d644cd-1e8c-4188-b5d3-d8609626690f,a3e21df8-b267-4544-88f6-21ca22eb1619,dd1f145d-6c8e-45b9-9182-bdd1b55619ff,review,2.0,2023-05-25
13858907-844f-47e8-a4f9-aa39380f74c0,34a84f39-3f33-4740-b9cc-c7948395e1f4,9441b391-a8be-435a-84f9-c9c42f21d346,tip,,2022-02-24
7d9d221a-f7ed-4dc1-a6fd-cd4a2b5544b4,1f7be5a8-4b39-4b80-9424-eccddc1ba7f8,3ed47cd0-af78-4ad0-8b76-916e5c3b6761,review,3.0,2022-07-03
a3ac25d5-9614-47d5-99a1-1cce302f5a94,c04a9100-c723-4c6c-992e-71a599aa6252,d677f353-b092-44ef-93b0-638c41a9846d,check-in,,2023-09-29
a3bfcc9f-11cd-45e5-9078-cf77921e1340,abf24ef0-c95f-4da2-854c-4b257345eb53,90c1fabf-242f-4a8b-adce-5df1216e511b,review,4.0,2023-05-20
1fa111e6-8b5b-4bbb-8bd3-747fb81ee619,88074e7c-20c2-4d81-a42b-ae2f3fa37796,f76f03c1-a2f8-4a4e-8737-d909aea6dc9f,review,5.0,2023-06-01
5ce0a795-020b-4f86-a375-b18febf5303e,a5160985-b718-4ee2-b505-498a6c980f18,97415a4b-61f8-44ba-ade1-01db16d9557b,check-in,,2022-02-02
d68405f9-04a3-4081-981b-df44dad8909f,3a84e03e-a73c-4b64-afaf-61ca41d61c88,2523bbd2-ab07-4167-a675-ac00fa164fc2,check-in,,2023-04-06
9cc1a3a1-70e9-48eb-aab3-00986c845620,16fdc141-6c66-4e77-b417-059d4a9c974a,f9e970b6-81d9-4ad8-bde4-d16c6dbc2b45,review,5.0,2023-04-16
a9bd740c-5ef3-477d-9d15-3f8d5b150af6,ef46e018-f545-480f-8b77-2f6cbd00c13b,8c4ffae2-3fc7-4021-a93f-8cfb5c71a10f,review,3.0,2023-05-19
7a3bd917-f410-46ff-8af4-d207f72e37af,faedc52c-1aec-46a4-8ab9-d66277791313,076c421c-857a-4be7-afc2-450bf90ca31d,review,3.0,2022-04-23
b08eaf01-899d-44a4-9cdc-7855d5325b14,de0685be-6d2d-4926-be42-091658c8994b,b8119adb-2d33-4e4c-8498-2b4a572e24a6,review,4.0,2023-05-03
8db2f0ed-6dda-4255-896a-53b77a402b3d,244bfcb5-2f25-495f-aa08-1bb3e6441df7,5753f215-2849-482f-b765-8736bc2cf0d2,review,4.0,2022-09-27
0da13151-4967-4fac-9d11-96a09bf09d42,5a97d1ed-24c9-4b99-9544-b36ec271b90e,2065c8c4-6947-4b28-89e7-a071fcdb4991,check-in,,2022-11-25
fa735b7d-8167-4534-8431-eb6e48bbe7bb,b4fd23b9-3484-4841-a5a2-7c39cc1d55c2,4fdaea7c-acdd-4a85-9296-305dd16bce84,review,3.0,2022-05-12
8ec16eed-2790-4f8e-90fd-0277009ade03,19a711b3-16e6-4a63-ba18-61256a8c95fc,67207641-da61-48d7-be45-b8a2442c3bdf,check-in,,2023-10-03
20460e16-a38b-4ae6-9eb8-688c9b855153,7ab78709-2936-4526-ab1a-c258ffc6d938,faef43a6-732e-47d3-9bce-a9dc4cbde65a,review,3.0,2022-12-20
2fa9c4af-e7f2-476f-be26-0e086c5614f0,a8e82628-445f-4513-ab7f-488f3cc958a6,09e3a466-9a3a-44b8-bb5d-b7035c26efbb,review,5.0,2022-09-11
2451746a-f4c5-4ef4-87a2-557af4d357b7,52e1605f-fa88-4554-96bc-53cf4cacb6fb,2404887e-f48d-4217-872b-9538b77fdb0f,review,3.0,2022-11-09
0e59b68b-ac23-4823-8434-29cbc05e084e,d185a3dd-95fa-4b4f-b760-6bf2a159e1f4,d335157a-176f-48a8-ae09-5a5dfbcaa1fd,review,3.0,2022-02-08
4423e6ad-6724-4572-9c92-c04dbb4ec020,7b806778-015d-4087-be9f-2d600cca76c9,406643c2-c6dd-433c-81f3-2cba300eb841,review,3.0,2023-03-08
821c4f1d-423c-44c6-8fca-7f948b507652,bee942dd-35de-44e8-be97-fc8ec8c30a7a,771151d8-cd57-4cb3-84f0-7ab8ed96873b,tip,,2022-11-21
fcb3d291-8550-4801-b1c7-8be0a8550d97,9f955c4e-c035-4951-be05-7ca7fbc565af,1c2b4265-9163-43cf-b535-b88b5e6757bc,review,4.0,2023-08-10
931c6ecc-88a4-46d8-92e3-406fb2707cd4,31b56f96-ab8f-4dc1-9899-f277986a2146,1e96813c-779e-405c-b2cc-1ead6448c159,review,3.0,2023-05-24
bf974be3-ecf7-4046-bc1a-8cfa84ca26f4,f539fb8d-4298-4034-b841-ff853f9b6515,3ab14fa6-8697-4fa8-af13-f3e0e03be130,review,4.0,2023-09-22
22d31f81-52a7-4709-815e-e5028e248fbd,4d6b0387-667f-4527-8c4c-11c4c2e4da58,f652f3df-ef33-471c-84c2-78e144c6e1c1,review,5.0,2023-10-13
584cee6a-ba83-440d-8773-e2eeee03d98f,759cae38-72e3-4def-8c52-fb06dfcaf695,ea078eb8-e32c-4ef9-9d91-0cde3f8cada9,review,3.0,2022-10-22
4bd964f2-1bf9-4397-99bd-526fca2ecd4b,67c89988-2390-441a-b70a-14d6e15ae344,5390c536-85a4-450a-8534-2657bf7e30d0,check-in,,2022-08-20
41a54109-1aa3-433d-bdd7-7f8b48ca7718,7bf44749-d3d3-4d82-8b87-11d15a0c16aa,b6fb6207-c8b0-4318-9089-018feed7f59d,check-in,,2023-08-30
332a1401-c4ac-4f58-b005-609da0589f7f,f15a27f1-dc68-4418-a35a-5e6d006712d6,7ea3b91a-327d-4b47-b824-bd0bdcc224f2,review,5.0,2023-05-02
9650be3d-95b1-46fe-8586-d77ee6b2a97b,4a41723a-4041-4001-8191-589133324bb1,fa38f08f-a2c9-4897-af45-792c6d8cfdf5,review,5.0,2023-06-01
03fba0f5-b43a-4278-8952-d7dad803191c,b117cb89-8984-4f4b-bb94-734feb137473,ab6630e3-eee0-4bb2-abe9-9e40118eb699,check-in,,2022-07-24
ff402926-3a99-4a81-bda3-5428772a1c0e,413008d1-060d-4d2a-ac4a-5eb8b473ae5c,0d60876a-5949-4a16-a97e-cdfe2c0713e0,review,3.0,2023-04-10
3c594389-cc57-458f-bce4-73e2a5d29bcf,84dc2231-b7af-4201-b0d6-e6dc226b04da,3db0a796-9dfc-47e8-9e0b-6337c8a101a6,review,4.0,2022-07-11
02007abe-b299-4f07-b096-97cd89c5cf84,1fba9a6c-2029-41d2-9655-7aeec95bc28a,16dfbe1e-e3f1-46b8-a8c7-e3fb3674c59d,review,3.0,2023-10-16
851c6425-7b13-4d84-96ed-6be78dd57fa5,16b5e5a7-96a7-4b9b-8c44-0f676f4337f3,a463bf67-67ac-470d-8c31-c752975ac3fe,review,4.0,2023-06-19
a41393b8-eda7-4fbd-97db-ee81707401d6,9c555af1-a49d-4301-a001-d8a82a69e4f7,3f92259b-3e80-4d3e-b013-89a0c0497f30,review,3.0,2023-12-03
c61822bf-9a08-4682-8087-34ddc1e88bf4,2b6ea209-1e43-43ed-a381-c0d024bd99d8,f947ee58-e135-4752-af93-8bcfd9964505,review,2.0,2022-03-07
f29a8447-902e-4fd9-ad72-725892c6d2a9,0e34b891-bba9-4150-97ca-53d5bd312a68,b83eeeb2-b59b-4ce8-97e7-56d7a1419d1b,review,3.0,2023-10-24
6f398b6c-1cd2-47e5-b945-ed54a5626132,5c529306-8b67-4b9e-a017-a090214550a5,fff4a5ba-57c8-4b16-9c03-034fab3aa7bc,review,2.0,2022-09-02
d9f330d8-4a88-4b6c-bc5b-2d699d7b5172,e102a037-30a5-4cd0-b351-11c77a859efa,94d2ed4d-c558-4359-8693-0ffad71668f3,review,4.0,2023-04-21
5bc53b45-4e8d-44ca-8d32-8f34df6d4967,84635e3c-3574-41f8-9a8d-e7ca50f03357,91d393bd-e387-4a64-b96b-8e85948e522b,review,5.0,2022-07-26
423d53d6-af17-420a-b403-bbd7cdb13aa5,8f8a1a7d-2d21-4e7e-a5e2-80fdff097aba,dd5e9811-fc11-4ebf-ac0d-128dea81dab2,tip,,2023-11-06
c750ad21-436f-490c-a850-52433b059bd7,dc9f0804-7927-48aa-9cd1-c5f9f9ae4522,74388cf4-9e01-49fc-83f6-920c257cb8aa,review,4.0,2022-01-21
0ff685f4-d9aa-4167-b5ef-41178cb86928,b8007aa7-107d-44c6-9a74-a0fb74e38c67,7374690e-aaf4-4575-99cd-92db5930d698,check-in,,2022-03-07
87cb1621-78ea-4459-b317-bd4bbdb370ef,5083a802-994d-43df-a95c-218a748d3f65,13499991-bd10-4f41-a2c0-84794d636a91,review,2.0,2023-11-19
23467251-7ae9-4859-a0c3-df645c9a30d0,9cc369c5-3596-4548-93e9-a9019af2ad45,e018bd0b-4ebd-4edb-9009-c5d1eb7b69b9,review,3.0,2022-04-25
5a2b488f-d369-4637-8b40-d11aa0a37574,1ccbcf10-ea02-4d14-9547-183f4851f5ae,ebe0971a-2dd8-47bf-b3f9-3106745366a0,check-in,,2023-11-12
2b931fc1-d7cc-40e6-a770-5fbd6c2a9b11,e0c8afc8-902d-4620-b15a-55cc11a7f682,72d27586-2910-4503-a169-98316b7f09f4,review,2.0,2023-05-24
f6a2b176-20d6-4b4a-8172-5a72710decd6,b117cb89-8984-4f4b-bb94-734feb137473,0740918f-f8ed-4176-acd3-609f226d8723,review,4.0,2022-12-04
e55acc88-c45c-48b6-ad10-50aab7ea4548,a0eaed8a-92fa-4cb2-89fd-93dcd6f55552,abb0f49f-710e-4030-b6c0-0a50391f8607,review,4.0,2022-08-12
e65019dd-f3be-45f6-92df-602b174973e5,3cfa412b-5667-4777-881f-87abf3c4c5ab,c419d4db-c023-44d0-82ee-56aac7007504,review,4.0,2023-02-23
f751763d-ec12-49a2-834b-3c3659b9866d,6e012603-6088-45d2-b00b-354e593c4999,43b6bb02-e9b0-4073-bc2a-474cab30dc66,review,5.0,2023-01-19
be4a0662-2a9e-4eb4-b2fc-75c2955eb9bf,bb9daf88-1761-4098-835c-14c1a009cf74,fdfae3fd-ee90-4dea-af4b-473350c015ca,review,3.0,2023-05-02
c4cffada-6e78-4f1d-9433-ddbe7c428dc8,879499c8-750e-4db8-bcca-d927215d402d,97f3a38c-3d92-48d4-aa1d-15c0c3087b48,review,2.0,2023-05-02
a554e8ec-f286-4570-a11c-7155d850dc75,50a1b7d1-b23e-4c09-98c9-a10124959da4,f8a78756-f1ab-42dd-952f-7b78d8c322b8,review,1.0,2023-11-10
0cfc6742-ff44-4854-b853-90b22fbc50c6,8ecde4e6-0dbc-4dea-a400-99e8116ac584,68f6b2b9-29a9-4383-b65e-07bd1f75aba5,review,2.0,2023-07-20
7aa8bc0f-1e65-42aa-8cfc-abeb54e7119e,5dadfb8c-f2bb-4d01-abbc-31b6b523c02b,60c8b903-91af-4ded-b37a-de736aadec0c,tip,,2023-07-02
283983dd-27ed-4e5a-a2e1-743a24b59010,7a43a5ee-15cb-43bf-beb4-f7bd89c48a73,2aa1aa2d-5924-48a2-a30f-7580648fb69a,review,1.0,2022-01-09
c26bbaed-cc29-4aa0-91cb-7e938dc99331,aec5f8db-c810-493b-a98c-c59843826851,2824e583-136c-4034-a47f-739920641026,check-in,,2022-04-03
726fd89c-dbd4-4cb9-9812-73b96a2e057e,ec18c93e-1580-4dcb-ac2b-c0e107f6c5b3,28087c84-1d4b-4fb2-841f-5520a791e5ee,review,3.0,2022-08-04
e34a2eb6-e749-4a5a-b75c-db45c7ae3850,b1b5e848-e282-4d5d-84b0-c4edced38f84,e4465ed2-3cfa-4ece-8c47-29e3cec650e8,tip,,2023-10-22
f4ece6fe-7934-466e-acf9-1aeba8e29f1f,89dab140-2fbb-4788-a1e6-c647d2d74e78,f0704b7c-f0dc-4709-8cd5-3ef5092a0264,review,5.0,2022-03-24
69087461-15ab-400d-864e-b26f0a001d45,e1f2bb58-edc7-4469-8259-382469bd1143,f8eaaeef-ad2b-446e-8964-d24157daa797,review,2.0,2022-12-07
6a2b82a3-f04f-414f-a55a-3c6ee50a19da,b3d9c504-cace-463d-82d9-2b9f43bb30fa,b4ae1cd0-c70f-4b9e-80a0-09df65d87be4,review,3.0,2023-12-17
3ea01d73-611c-4516-bedf-c53c05dbdea3,809c6135-0034-40af-b345-bfe766099b71,9a431c38-9efc-4361-87f7-73f100108098,review,3.0,2023-04-10
395d9fad-6989-4b8f-b239-9f4f904e445d,536b5add-d459-4723-a0ae-9796453c990e,ec1910c5-aca8-4ce7-a90a-c507ea49616a,review,2.0,2023-10-19
